

--- Inversion on [256, 128] grid with wTVReg and alpha=1.0 --- 

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
   .1	3.64e-02	3.87e-02			8.81e-01
 20.0	3.64e-02	3.87e-02	3.56e-02	8.81e-01	806
   .1	3.63e-02	3.88e-02			8.80e-01
projGN iterated maxIter=20 times but reached only stepNorm of 0.007399911131406645 instead 0.001.


--- Inversion on [256, 128] grid with wTVReg and alpha=0.022122162910704492 --- 

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	3.63e-02	2.41e-02	2.21e-02	1.00e+00	875
   .1	3.57e-02	2.44e-02			9.94e-01
  2.0	3.57e-02	2.44e-02	2.21e-02	9.94e-01	2027
   .1	3.51e-02	2.47e-02			9.89e-01
  3.0	3.51e-02	2.47e-02	2.21e-02	9.89e-01	2220
   .1	3.43e-02	2.50e-02			9.82e-01
  4.0	3.43e-02	2.50e-02	2.21e-02	9.82e-01	2307
   .1	3.34e-02	2.54e-02			9.73e-01
  5.0	3.34e-02	2.54e-02	2.21e-02	9.73e-01	2491
   .1	3.23e-02	2.58e-02			9.62e-01
  6.0	3.23e-02	2.58e-02	2.21e-02	9.62e-01	2885
   .1	3.11e-02	2.63e-02			9.49e-01
  7.0	3.11e-02	2.63e-02	2.21e-02	9.49e-01	2893
   .1	2.99e-02	2.67e-02			9.37e-01
  8.0	2.99e-02	2.67e-02	2.21e-02	9.37e-01	3034
   .1	2.92e-02	2.69e-02			9.29e-01
  9.0	2.92e-02	2.69e-02	2.21e-02	9.29e-01	3149
   .1	2.83e-02	2.72e-02			9.19e-01
 10.0	2.83e-02	2.72e-02	2.21e-02	9.19e-01	4429
   .1	2.78e-02	2.74e-02			9.14e-01
 11.0	2.78e-02	2.74e-02	2.21e-02	9.14e-01	4990
   .1	2.75e-02	2.75e-02			9.11e-01
 12.0	2.75e-02	2.75e-02	2.21e-02	9.11e-01	4818
   .1	2.73e-02	2.76e-02			9.10e-01
 13.0	2.73e-02	2.76e-02	2.21e-02	9.10e-01	4629
   .1	2.72e-02	2.77e-02			9.09e-01
 14.0	2.72e-02	2.77e-02	2.21e-02	9.09e-01	4181
   .1	2.71e-02	2.77e-02			9.09e-01
 15.0	2.71e-02	2.77e-02	2.21e-02	9.09e-01	4205
   .1	2.71e-02	2.78e-02			9.08e-01
 16.0	2.71e-02	2.78e-02	2.21e-02	9.08e-01	4119
   .1	2.70e-02	2.78e-02			9.07e-01
 17.0	2.70e-02	2.78e-02	2.21e-02	9.07e-01	4128
   .1	2.70e-02	2.78e-02			9.07e-01
 18.0	2.70e-02	2.78e-02	2.21e-02	9.07e-01	3866
   .1	2.69e-02	2.78e-02			9.07e-01
 19.0	2.69e-02	2.78e-02	2.21e-02	9.07e-01	3831
   .1	2.69e-02	2.78e-02			9.06e-01
 20.0	2.69e-02	2.78e-02	2.21e-02	9.06e-01	3838
   .1	2.69e-02	2.78e-02			9.06e-01
projGN iterated maxIter=20 times but reached only stepNorm of 0.001910383446338676 instead 0.001.


--- Inversion on [256, 128] grid with wTVReg and alpha=0.01373823795883263 --- 

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	2.69e-02	1.73e-02	1.37e-02	1.00e+00	3958
   .1	2.66e-02	1.74e-02			9.95e-01
  2.0	2.66e-02	1.74e-02	1.37e-02	9.95e-01	5313
   .1	2.65e-02	1.75e-02			9.94e-01
  3.0	2.65e-02	1.75e-02	1.37e-02	9.94e-01	4811
   .1	2.63e-02	1.76e-02			9.94e-01
  4.0	2.63e-02	1.76e-02	1.37e-02	9.94e-01	5204
   .1	2.63e-02	1.76e-02			9.93e-01
  5.0	2.63e-02	1.76e-02	1.37e-02	9.93e-01	5041
   .1	2.62e-02	1.77e-02			9.93e-01
  6.0	2.62e-02	1.77e-02	1.37e-02	9.93e-01	5416
   .1	2.61e-02	1.77e-02			9.92e-01
  7.0	2.61e-02	1.77e-02	1.37e-02	9.92e-01	5361
   .1	2.61e-02	1.77e-02			9.92e-01
  8.0	2.61e-02	1.77e-02	1.37e-02	9.92e-01	5291
   .1	2.61e-02	1.78e-02			9.92e-01
  9.0	2.61e-02	1.78e-02	1.37e-02	9.92e-01	5205
   .1	2.60e-02	1.78e-02			9.92e-01
 10.0	2.60e-02	1.78e-02	1.37e-02	9.92e-01	5309
   .1	2.60e-02	1.78e-02			9.91e-01
 11.0	2.60e-02	1.78e-02	1.37e-02	9.91e-01	5293
   .1	2.60e-02	1.78e-02			9.91e-01
 12.0	2.60e-02	1.78e-02	1.37e-02	9.91e-01	5370
   .1	2.60e-02	1.78e-02			9.91e-01
 13.0	2.60e-02	1.78e-02	1.37e-02	9.91e-01	5331
   .1	2.59e-02	1.78e-02			9.90e-01
 14.0	2.59e-02	1.78e-02	1.37e-02	9.90e-01	5373
   .1	2.58e-02	1.79e-02			9.89e-01
 15.0	2.58e-02	1.79e-02	1.37e-02	9.89e-01	5297
   .1	2.57e-02	1.79e-02			9.87e-01
 16.0	2.57e-02	1.79e-02	1.37e-02	9.87e-01	5578
   .1	2.54e-02	1.80e-02			9.82e-01
 17.0	2.54e-02	1.80e-02	1.37e-02	9.82e-01	5624
   .1	2.49e-02	1.82e-02			9.73e-01
 18.0	2.49e-02	1.82e-02	1.37e-02	9.73e-01	6450
   .1	2.42e-02	1.84e-02			9.64e-01
 19.0	2.42e-02	1.84e-02	1.37e-02	9.64e-01	6434
   .1	2.36e-02	1.86e-02			9.55e-01
 20.0	2.36e-02	1.86e-02	1.37e-02	9.55e-01	6453
   .1	2.32e-02	1.87e-02			9.49e-01
projGN iterated maxIter=20 times but reached only stepNorm of 0.039052042090293726 instead 0.001.


--- Inversion on [256, 128] grid with wTVReg and alpha=0.008531678524172805 --- 

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	2.32e-02	1.16e-02	8.53e-03	1.00e+00	6398
   .1	2.22e-02	1.19e-02			9.81e-01
  2.0	2.22e-02	1.19e-02	8.53e-03	9.81e-01	8047
   .1	2.14e-02	1.22e-02			9.65e-01
  3.0	2.14e-02	1.22e-02	8.53e-03	9.65e-01	9273
